::1 - - [19/May/2020:14:16:00 +0000] "GET /favicon.ico HTTP/1.1" 404 488 "http://localhost/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
::1 - - [19/May/2020:14:16:51 +0000] "-" 408 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:16:52 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:16:53 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:16:53 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:17:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:17:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:17:33 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:27:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:27:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:27:33 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:37:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:37:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:37:33 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:47:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:47:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:47:33 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:57:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:57:33 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:14:57:33 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:06:02 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:06:02 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:06:02 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:07:20 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:07:20 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:07:20 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:16:02 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:16:02 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:16:02 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:16:43 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:16:43 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:16:43 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:20:10 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:20:10 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:20:10 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:20:23 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:20:24 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:20:24 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:21:04 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:21:04 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:21:04 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:22:22 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:22:22 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:22:22 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:22:45 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:22:45 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:22:45 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:31:14 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:31:14 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:31:14 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:32:41 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:32:41 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:32:41 +0000] "\x16\x03\x01" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:32:45 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:32:45 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
10.0.2.2 - - [19/May/2020:15:32:45 +0000] "\x16\x03\x01" 400 0 "-" "-"
172.17.0.4 - - [19/May/2020:15:42:30 +0000] "GET /opencart/admin/ HTTP/1.1" 200 1405 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 10097 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 29850 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/stylesheet/bootstrap.css HTTP/1.1" 200 22734 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7391 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/moment/moment.min.js HTTP/1.1" 200 17377 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/moment/moment-with-locales.min.js HTTP/1.1" 200 66464 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.css HTTP/1.1" 200 1411 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/stylesheet/stylesheet.css HTTP/1.1" 200 4303 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.js HTTP/1.1" 200 10234 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:31 +0000] "GET /opencart/admin/view/javascript/common.js HTTP/1.1" 200 2639 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:32 +0000] "GET /opencart/admin/view/image/logo.png HTTP/1.1" 200 3682 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:33 +0000] "GET /opencart/admin/view/javascript/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77423 "http://10.0.2.15/opencart/admin/view/javascript/font-awesome/css/font-awesome.min.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.4 - - [19/May/2020:15:42:33 +0000] "GET /favicon.ico HTTP/1.1" 404 487 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
::1 - - [19/May/2020:15:42:34 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.29 (Ubuntu) (internal dummy connection)"
::1 - - [19/May/2020:15:42:35 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.29 (Ubuntu) (internal dummy connection)"
::1 - - [19/May/2020:15:42:36 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.29 (Ubuntu) (internal dummy connection)"
::1 - - [19/May/2020:15:42:37 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.29 (Ubuntu) (internal dummy connection)"
172.17.0.5 - - [19/May/2020:15:42:43 +0000] "GET /opencart/admin/ HTTP/1.1" 200 1405 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/javascript/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 29850 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/javascript/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 10097 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/stylesheet/bootstrap.css HTTP/1.1" 200 22734 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/javascript/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7391 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/moment/moment.min.js HTTP/1.1" 200 17377 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/moment/moment-with-locales.min.js HTTP/1.1" 200 66464 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
172.17.0.5 - - [19/May/2020:15:42:44 +0000] "GET /opencart/admin/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.css HTTP/1.1" 200 1411 "http://10.0.2.15/opencart/admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
